date,portfolio_value,benchmark_value,marked_open_risk_percent,capital_invested_percent
2015-07-06,116000.25,805213.48,0.0,0.0
2015-07-07,116000.25,804097.28,0.0,0.0
2015-07-08,116000.25,786763.71,0.0,0.0
2015-07-09,116000.25,775705.49,0.0,0.0
2015-07-10,116000.25,794280.2,0.0,0.0
2015-07-13,116000.25,809557.15,0.0,0.0
2015-07-14,116246.27,812331.47,0.4981,14.02
2015-07-15,116240.13,817334.12,0.4982,14.02
2015-07-16,116737.31,830514.06,0.496,14.38
2015-07-17,119467.04,855271.89,0.4847,16.34
2015-07-20,119273.87,864048.69,0.9843,34.65
2015-07-21,119059.06,858757.59,1.4867,47.72
2015-07-22,117747.85,832559.9,0.997,34.93
2015-07-23,117098.47,828479.13,1.0026,34.57
2015-07-24,116329.28,820119.9,1.0092,34.14
2015-07-27,116273.38,812209.31,0.498,15.8
2015-07-28,116312.16,817154.0,0.4979,15.82
2015-07-29,116361.54,816840.27,0.4976,15.86
2015-07-30,116448.87,815118.28,0.4973,15.92
2015-07-31,116251.89,808695.64,0.4981,15.78
2015-08-03,116453.33,798035.93,0.4973,15.93
2015-08-04,116357.35,780575.37,0.4977,15.86
2015-08-05,116692.43,787389.71,0.4962,16.1
2015-08-06,116604.83,784048.07,0.4966,16.03
2015-08-07,116444.12,790938.27,0.4973,15.92
2015-08-10,116409.25,812382.18,0.4974,15.89
2015-08-11,117167.01,788828.9,0.4942,16.44
2015-08-12,117199.66,797188.33,0.4941,16.46
2015-08-13,117061.27,795169.14,0.4947,16.36
2015-08-14,117141.06,799579.74,0.4943,16.42
2015-08-17,117273.31,806101.71,0.4938,16.51
2015-08-18,117123.21,800942.42,0.4944,16.41
2015-08-19,117271.36,794522.7,0.4938,16.51
2015-08-20,116865.13,776832.22,0.4955,16.22
2015-08-21,115876.08,734215.98,0.4997,15.51
2015-08-24,114639.25,712113.19,0.0,0.0
2015-08-25,114639.25,712092.06,0.0,0.0
2015-08-26,114639.25,755323.36,0.0,0.0
2015-08-27,114639.25,775441.21,0.0,0.0
2015-08-28,114639.25,775693.88,0.0,0.0
2015-08-31,114639.25,769442.1,0.0,0.0
2015-09-01,114639.25,738572.7,0.0,0.0
2015-09-02,114639.25,765739.97,0.0,0.0
